url,error
https://ec.europa.eu/commission/presscorner/detail/en/speech_26_1231,"Blocked by anti-bot protection: Structural: minimal_text, no_content_elements, script_heavy_shell (19152 bytes, 0 chars visible)"
https://ec.europa.eu/commission/presscorner/detail/en/ip_26_1187,"Blocked by anti-bot protection: Structural: minimal_text, no_content_elements, script_heavy_shell (19296 bytes, 0 chars visible)"
https://ec.europa.eu/commission/presscorner/detail/en/speech_26_1244,"Blocked by anti-bot protection: Structural: minimal_text, no_content_elements, script_heavy_shell (19306 bytes, 0 chars visible)"
https://ec.europa.eu/commission/presscorner/detail/en/speech_26_1247,"Blocked by anti-bot protection: Structural: minimal_text, no_content_elements, script_heavy_shell (19120 bytes, 0 chars visible)"
https://ec.europa.eu/commission/presscorner/detail/en/ip_26_1214,"Blocked by anti-bot protection: Structural: minimal_text, no_content_elements, script_heavy_shell (19380 bytes, 0 chars visible)"
https://ec.europa.eu/commission/presscorner/detail/en/ip_26_1224,"Blocked by anti-bot protection: Structural: minimal_text, no_content_elements, script_heavy_shell (19258 bytes, 0 chars visible)"
