original,normalized
https://energy.ec.europa.eu/news/citizens-energy-package-helping-households-energy-transition-2026-04-30_en,https://energy.ec.europa.eu/news/citizens-energy-package-helping-households-energy-transition-2026-04-30_en
https://energy.ec.europa.eu/news/commissioner-jorgensen-paris-talks-global-clean-energy-transition-and-housing-affordability-2026-04-30_en,https://energy.ec.europa.eu/news/commissioner-jorgensen-paris-talks-global-clean-energy-transition-and-housing-affordability-2026-04-30_en
https://energy.ec.europa.eu/news/commission-assesses-eu-countries-security-oil-and-gas-supply-conflict-middle-east-continues-2026-04-30_en,https://energy.ec.europa.eu/news/commission-assesses-eu-countries-security-oil-and-gas-supply-conflict-middle-east-continues-2026-04-30_en
https://energy.ec.europa.eu/news/successful-first-round-eu-hydrogen-mechanism-support-market-development-providing-value-added-2026-04-29_en,https://energy.ec.europa.eu/news/successful-first-round-eu-hydrogen-mechanism-support-market-development-providing-value-added-2026-04-29_en
https://ec.europa.eu/commission/presscorner/detail/en/ip_26_894,https://ec.europa.eu/commission/presscorner/detail/en/ip_26_894
https://ec.europa.eu/commission/presscorner/detail/en/SPEECH_26_923,https://ec.europa.eu/commission/presscorner/detail/en/SPEECH_26_923
https://energy.ec.europa.eu/news/april-infringements-package-key-decisions-energy-2026-04-29_en,https://energy.ec.europa.eu/news/april-infringements-package-key-decisions-energy-2026-04-29_en
https://cinea.ec.europa.eu/news-events/news/pci-pmi-transparency-platform-publishes-data-projects-2nd-pci-and-pmi-list-2026-04-29_en,https://cinea.ec.europa.eu/news-events/news/pci-pmi-transparency-platform-publishes-data-projects-2nd-pci-and-pmi-list-2026-04-29_en
https://ec.europa.eu/commission/presscorner/detail/en/statement_26_889,https://ec.europa.eu/commission/presscorner/detail/en/statement_26_889
https://www2.gbrmpa.gov.au/news/review-reef-2050-plan-now-underway,https://www2.gbrmpa.gov.au/news/review-reef-2050-plan-now-underway
https://www.apra.gov.au/news-and-publications/apra-releases-monthly-authorised-deposit-taking-institution-statistics-for-71,https://www.apra.gov.au/news-and-publications/apra-releases-monthly-authorised-deposit-taking-institution-statistics-for-71
https://www.apra.gov.au/news-and-publications/apra-calls-for-a-step-change-ai-related-risk-management-and-governance,https://www.apra.gov.au/news-and-publications/apra-calls-for-a-step-change-ai-related-risk-management-and-governance
https://www.apra.gov.au/news-and-publications/apra-finalises-targeted-amendments-to-cps-230-operational-risk-management,https://www.apra.gov.au/news-and-publications/apra-finalises-targeted-amendments-to-cps-230-operational-risk-management
https://www.apra.gov.au/news-and-publications/apra-and-asic-publish-latest-data-on-life-insurance-claims-and-disputes-12,https://www.apra.gov.au/news-and-publications/apra-and-asic-publish-latest-data-on-life-insurance-claims-and-disputes-12
https://www.unccd.int/news-stories/press-releases/g7-declaration-recognizes-land-degradation-and-drought-global-security,https://www.unccd.int/news-stories/press-releases/g7-declaration-recognizes-land-degradation-and-drought-global-security
https://aasb.gov.au/news/aasb-may-2026-board-meeting-public-agenda-and-papers-out-now/,https://aasb.gov.au/news/aasb-may-2026-board-meeting-public-agenda-and-papers-out-now/
https://www.solar.vic.gov.au/renae-gasmier-appointed-lead-new-division-solar-victoria,https://www.solar.vic.gov.au/renae-gasmier-appointed-lead-new-division-solar-victoria
https://www.mriwa.wa.gov.au/news-and-events/large-diameter-rollers-prove-their-value-in-overland-conveyor-systems/,https://www.mriwa.wa.gov.au/news-and-events/large-diameter-rollers-prove-their-value-in-overland-conveyor-systems/
https://www.planning.nsw.gov.au/news/minns-labor-government-unlocks-land-build-more-than-200-new-homes-in-east-tamworth,https://www.planning.nsw.gov.au/news/minns-labor-government-unlocks-land-build-more-than-200-new-homes-in-east-tamworth
https://www.planning.nsw.gov.au/news/3-8-million-to-fast-track-more-than-68000-new-homes-across-regional-nsw,https://www.planning.nsw.gov.au/news/3-8-million-to-fast-track-more-than-68000-new-homes-across-regional-nsw
https://www.planning.nsw.gov.au/news/first-pre-sale-finance-guarantees-in-regional-nsw-to-deliver-more-homes-for-the-central-west,https://www.planning.nsw.gov.au/news/first-pre-sale-finance-guarantees-in-regional-nsw-to-deliver-more-homes-for-the-central-west
https://www.oir.gov.au/blog/consultation-cost-recovery-arrangements-0,https://www.oir.gov.au/blog/consultation-cost-recovery-arrangements-0
https://www.nrf.gov.au/news-and-media-releases/national-reconstruction-fund-corporation-builds-australias-advanced-manufacturing-capability-2845-million-investment-liquid-instruments,https://www.nrf.gov.au/news-and-media-releases/national-reconstruction-fund-corporation-builds-australias-advanced-manufacturing-capability-2845-million-investment-liquid-instruments
https://www.naif.gov.au/media-centre/quarterly-snapshot-q3-2025-26/,https://www.naif.gov.au/media-centre/quarterly-snapshot-q3-2025-26/
https://www.dcceew.gov.au/about/news/public-feedback-highlights-priorities-snowy-water-deed-review,https://www.dcceew.gov.au/about/news/public-feedback-highlights-priorities-snowy-water-deed-review
https://www.dcceew.gov.au/about/news/statutory-consultation-now-open-mnes-standard,https://www.dcceew.gov.au/about/news/statutory-consultation-now-open-mnes-standard
https://www.dcceew.gov.au/about/news/hys-proposed-accu-scheme-amendments,https://www.dcceew.gov.au/about/news/hys-proposed-accu-scheme-amendments
https://www.dcceew.gov.au/about/news/building-resilient-reef-wetlands,https://www.dcceew.gov.au/about/news/building-resilient-reef-wetlands
https://www.dcceew.gov.au/about/news/energy-upgrades-roll-out-across-social-housing-tas,https://www.dcceew.gov.au/about/news/energy-upgrades-roll-out-across-social-housing-tas
https://www.dcceew.gov.au/about/news/australia-advances-global-energy-climate-action-petersberg-dialogue,https://www.dcceew.gov.au/about/news/australia-advances-global-energy-climate-action-petersberg-dialogue
https://www.dcceew.gov.au/about/news/protection-statement-pilot,https://www.dcceew.gov.au/about/news/protection-statement-pilot
https://www.dcceew.gov.au/about/news/household-energy-upgrades-fund-reaches-10000-installations,https://www.dcceew.gov.au/about/news/household-energy-upgrades-fund-reaches-10000-installations
https://www.dcceew.gov.au/about/news/review-reef-2050-plan,https://www.dcceew.gov.au/about/news/review-reef-2050-plan
https://www.dcceew.gov.au/about/news/hys-oei-cris,https://www.dcceew.gov.au/about/news/hys-oei-cris
https://www.wbcsd.org/news/uniting-global-stakeholders-to-advance-green-supply-chain-transformation-at-shanghai-climate-week/,https://www.wbcsd.org/news/uniting-global-stakeholders-to-advance-green-supply-chain-transformation-at-shanghai-climate-week/
https://www.aicd.com.au/news-media/media-releases/2026/mentoring-for-cultural-diversity.html,https://www.aicd.com.au/news-media/media-releases/2026/mentoring-for-cultural-diversity.html
https://www.ansto.gov.au/news/landmark-achievement-opens-pathway-for-treatment-of-drug-resistant-tuberculosis,https://www.ansto.gov.au/news/landmark-achievement-opens-pathway-for-treatment-of-drug-resistant-tuberculosis
https://www.pm.gov.au/media/question-and-answer-daily-telegraph-future-western-sydney-forum,https://www.pm.gov.au/media/question-and-answer-daily-telegraph-future-western-sydney-forum
https://www.pm.gov.au/media/daily-telegraph-future-western-sydney-forum,https://www.pm.gov.au/media/daily-telegraph-future-western-sydney-forum
https://www.pm.gov.au/media/doorstop-sydney-8,https://www.pm.gov.au/media/doorstop-sydney-8
https://www.pm.gov.au/media/additional-jet-fuel-and-additional-diesel-secured,https://www.pm.gov.au/media/additional-jet-fuel-and-additional-diesel-secured
https://www.pm.gov.au/media/television-interview-sbs,https://www.pm.gov.au/media/television-interview-sbs
https://www.pm.gov.au/media/press-conference-sydney-33,https://www.pm.gov.au/media/press-conference-sydney-33
https://www.pm.gov.au/media/interim-report-royal-commission-antisemitism-and-social-cohesion,https://www.pm.gov.au/media/interim-report-royal-commission-antisemitism-and-social-cohesion
https://www.pm.gov.au/media/doorstop-perth-2,https://www.pm.gov.au/media/doorstop-perth-2
https://www.pm.gov.au/media/delivering-1-1-billion-strengthen-supply-chains-and-boost-productivity-western-australia,https://www.pm.gov.au/media/delivering-1-1-billion-strengthen-supply-chains-and-boost-productivity-western-australia
https://www.pm.gov.au/media/faster-environmental-approvals-states-and-territories,https://www.pm.gov.au/media/faster-environmental-approvals-states-and-territories
https://www.pm.gov.au/media/chamber-minerals-and-energy-western-australia,https://www.pm.gov.au/media/chamber-minerals-and-energy-western-australia
https://www.pm.gov.au/media/radio-interview-abc-perth-7,https://www.pm.gov.au/media/radio-interview-abc-perth-7
https://www.ato.gov.au/other-languages/simplified-chinese/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-chinese-simplified,https://www.ato.gov.au/other-languages/simplified-chinese/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-chinese-simplified
https://www.ato.gov.au/other-languages/nepali/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-nepali,https://www.ato.gov.au/other-languages/nepali/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-nepali
https://www.ato.gov.au/other-languages/korean/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-korean,https://www.ato.gov.au/other-languages/korean/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-korean
https://www.ato.gov.au/other-languages/khmer/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-khmer,https://www.ato.gov.au/other-languages/khmer/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-khmer
https://www.ato.gov.au/other-languages/farsi/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-farsi,https://www.ato.gov.au/other-languages/farsi/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-farsi
https://www.ato.gov.au/other-languages/arabic/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-arabic,https://www.ato.gov.au/other-languages/arabic/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-arabic
https://www.ato.gov.au/other-languages/vietnamese/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-vietnamese,https://www.ato.gov.au/other-languages/vietnamese/tax-support-for-a-crisis-financial-hardship-or-natural-disaster-vietnamese
