url,guessed_selector
https://www.seek.com.au/job/90574158?type=standard&ref=search-standalone&origin=cardTitle#sol=2cea85e448b2cd7690ecbbb5b29e0c764b9451de,section:nth-of-type(1)
https://www.seek.com.au/job/90560071?type=standard&ref=search-standalone&origin=cardTitle#sol=cebe11dfb14029f4756090d210a450da5a821cc6,div:nth-of-type(1)
https://www.seek.com.au/job/90526944?type=standard&ref=search-standalone&origin=cardTitle#sol=69cab2c19d28479876a143ebbfce4e79f5e96ed2,div:nth-of-type(1)
https://www.seek.com.au/job/90557048?type=standard&ref=search-standalone&origin=cardTitle#sol=d914aab2935f60a1cc67d6359ba61a6af99e0255,div:nth-of-type(1)
https://www.seek.com.au/job/90585357?type=standard&ref=search-standalone&origin=cardTitle#sol=53a6d681d08e2d0f821eb1fd290aa07f3a61c34e,div:nth-of-type(1)
https://www.seek.com.au/job/90560071?type=standard&ref=search-standalone&origin=cardTitle#sol=8027731def0e2b7292190d91708346d808b2e527,div:nth-of-type(1)
https://www.seek.com.au/job/90560014?type=standard&ref=search-standalone&origin=cardTitle#sol=e9d451b6c379ce1936cc3b523fe95c1cc66cf8a1,section:nth-of-type(1)
https://www.seek.com.au/job/90574115?type=standard&ref=search-standalone&origin=cardTitle#sol=635d5e4409a94e2d8ac8580c2f0b20934cc79c83,section:nth-of-type(1)
https://www.seek.com.au/job/90573120?type=standard&ref=search-standalone&origin=cardTitle#sol=2f90b9d00a9ec4c6a9654cebcf252cbd4f1fff74,div:nth-of-type(1)
https://www.seek.com.au/job/90576197?type=standard&ref=search-standalone&origin=cardTitle#sol=060b853dbf6d22be4404d061ea2033ac4521ec47,div:nth-of-type(1)
https://www.seek.com.au/job/90588892?type=standard&ref=search-standalone&origin=cardTitle#sol=0bc07532f4c343123e582e3ceecfc0e7bf864e07,div:nth-of-type(1)
https://www.seek.com.au/job/90514421?type=standard&ref=search-standalone&origin=cardTitle#sol=9eef0d01253a37caac19424cae176b648ea4f811,section:nth-of-type(1)
https://www.seek.com.au/job/90557200?type=standard&ref=search-standalone&origin=cardTitle#sol=67a1e60a21a5c579fb5735df08b7c9f86ca9cab0,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=senior-officer-reviews-workforce-project-support-officer&Id=a05OY00000MFrqYYAT,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=assistant-manager-finance-business-partner-el-1-and-finance-business-partner-aps-6-&Id=a05OY00000MITGdYAP,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=manager-security-operations&Id=a05OY00000MHtmbYAD,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=deputy-director&Id=a05OY00000M7gqfYAB,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=technology-portfolio-manager-data-digital-and-applications-projects&Id=a05OY00000M6x5ZYAR,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=commonwealth-solicitor-for-public-prosecutions-cspp-&Id=a05OY00000M4idhYAB,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=general-manager-strategy-engagement&Id=a05OY00000M2ByoYAF,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=property-services-officer&Id=a05OY00000M1jCyYAJ,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=assistant-director-business-continuity&Id=a05OY00000LwcIYYAZ,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=legal-compliance-manager&Id=a05OY00000LnsftYAB,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=integrity-and-ethics-officer&Id=a05OY00000LnbaEYAR,article:nth-of-type(1)
